,Model Name,Class,Control,Total,False Positive Rate,False Negative Rate,Accuracy,Marginal Difference,Shortfall,Adverse Impact Ratio,Fishers Exact,Fishers Exact P-Value,Standardized Mean Difference,T-Statistic,T-Statistic P-Value
0,Monotonic GBM,Black,White,2608.0,0.061855670103092786,0.8633975481611208,0.7626533742331288,0.12656133628159116,330.07196502238975,0.8605568525588669,0.42194051659826637,2.2229472490204906e-57,0.6284716145680413,30.870208237981537,4.017855954403598e-206
1,Monotonic GBM,Native American,White,146.0,0.016666666666666666,0.9230769230769231,0.821917808219178,0.0857018102710021,12.512464299566307,0.9055751897324933,0.5187513730936036,0.0036523254074596403,0.2732276102425479,3.317481317868871,0.0009094661250485568
2,Monotonic GBM,White,,28361.0,0.02618390893904666,0.8633587786259542,0.8964775572088431,,,,,,,,
3,Monotonic GBM,Hispanic,Non-Hispanic,4118.0,0.044753086419753084,0.8530751708428246,0.782904322486644,0.13003019529412074,535.4643442211892,0.858172586097712,0.39013172639955634,4.442362203000175e-96,0.48028367105210845,28.979063945028148,2.0013423823282454e-182
4,Monotonic GBM,Non-Hispanic,,29911.0,0.025015497939685664,0.8565112540192926,0.9058206011166461,,,,,,,,
5,Monotonic GBM,Female,Male,8301.0,0.0425531914893617,0.8100393700787402,0.8635104204312734,0.017351598850356975,144.03562205681325,0.9806118008602394,0.8582326554558927,0.0004885386103386172,0.0840154956898157,5.643171131608238,1.6905154216502833e-08
6,Monotonic GBM,Male,,13166.0,0.03131630314860392,0.8590021691973969,0.8817408476378551,,,,,,,,
0,Standard GBM,Black,White,2608.0,0.06332842415316642,0.8213660245183888,0.7707055214723927,0.12656133628159116,330.07196502238975,0.8605568525588669,0.42194051659826637,2.2229472490204906e-57,0.5950084112352522,29.378198740072808,3.876421990822982e-187
1,Standard GBM,Native American,White,146.0,0.016666666666666666,0.9615384615384616,0.815068493150685,0.0857018102710021,12.512464299566307,0.9055751897324933,0.5187513730936036,0.0036523254074596403,0.2943129110322383,3.5927202260837316,0.0003277947099113771
2,Standard GBM,White,,28361.0,0.031117672196107376,0.8458015267175573,0.8936215225133105,,,,,,,,
3,Standard GBM,Hispanic,Non-Hispanic,4118.0,0.04537037037037037,0.8428246013667426,0.7846041767848471,0.13003019529412074,535.4643442211892,0.858172586097712,0.39013172639955634,4.442362203000175e-96,0.45062334123053466,27.17441831700931,6.837322133326625e-161
4,Standard GBM,Non-Hispanic,,29911.0,0.029500784013419393,0.8291800643086816,0.9039818127110427,,,,,,,,
5,Standard GBM,Female,Male,8301.0,0.042004118050789296,0.8149606299212598,0.8633899530177087,0.017351598850356975,144.03562205681325,0.9806118008602394,0.8582326554558927,0.0004885386103386172,0.09245408142495258,6.339645085515166,2.348805251845112e-10
6,Standard GBM,Male,,13166.0,0.03208011542052109,0.8329718004338394,0.8837915843840194,,,,,,,,
