,debt_to_income_ratio_std,partial_dependence,Percentile_0,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_99
0,-2.527546647809547,0.04382280499648129,0.002249782232227477,0.005616010497894399,0.006246760979333018,0.021704600839793795,0.012351943712066549,0.04168707667879711,0.03840521029123711,0.14821972959429056,0.09512417842430071,0.06953679116021601,0.4647838205832534
1,-2.207613798101224,0.04382280499648129,0.002249782232227477,0.005616010497894399,0.006246760979333018,0.021704600839793795,0.012351943712066549,0.04168707667879711,0.03840521029123711,0.14821972959429056,0.09512417842430071,0.06953679116021601,0.4647838205832534
2,-1.8876809483929011,0.04382280499648129,0.002249782232227477,0.005616010497894399,0.006246760979333018,0.021704600839793795,0.012351943712066549,0.04168707667879711,0.03840521029123711,0.14821972959429056,0.09512417842430071,0.06953679116021601,0.4647838205832534
3,-1.5677480986845782,0.05360617008091658,0.0022651212106304893,0.00579620037720644,0.006122383593991068,0.012728717390334373,0.011611026469492823,0.012242556502342263,0.029203278317984124,0.11813963943282624,0.10000573472205743,0.10311453040416688,0.5723674474576571
4,-1.2478152489762553,0.05360617008091658,0.0022651212106304893,0.00579620037720644,0.006122383593991068,0.012728717390334373,0.011611026469492823,0.012242556502342263,0.029203278317984124,0.11813963943282624,0.10000573472205743,0.10311453040416688,0.5723674474576571
5,-0.9278823992679324,0.05360617008091658,0.0022651212106304893,0.00579620037720644,0.006122383593991068,0.012728717390334373,0.011611026469492823,0.012242556502342263,0.029203278317984124,0.11813963943282624,0.10000573472205743,0.10311453040416688,0.5723674474576571
6,-0.6079495495596094,0.06962542162838566,0.002394648956226962,0.006693057238898068,0.006609224475619399,0.012680194269219925,0.012011207951965187,0.011410534771826245,0.037471446394587736,0.089467037121231,0.1313454009174594,0.1337602042588904,0.7201336287015447
7,-0.28801669985128653,0.07367913389189906,0.0025349245965335036,0.00643253742564668,0.0069547013486681965,0.01235757737239456,0.015059118454276488,0.011119857469573434,0.04740709947571917,0.0800168103012263,0.14457875313440707,0.14113322575092244,0.7699612925978986
8,0.03191614985703639,0.08420689285178291,0.004202359440812859,0.006394204037868127,0.007609318874770094,0.0111346395404274,0.016719280286901287,0.010238498904717487,0.07765506674690581,0.10329456610725078,0.17072053860333347,0.17800773446270204,0.7797969037335546
9,0.3518489995653593,0.10270013061365565,0.004589544787325408,0.006168761342380238,0.006150125519090292,0.012984088291618946,0.020826012616192872,0.010839536128364786,0.09401043952138062,0.09570313064758584,0.20616113055509375,0.2249211843012015,0.8491059137308373
10,0.6717818492736822,0.1142162330486409,0.007792446576048901,0.007100295209316503,0.007235390990818382,0.012557458409426467,0.020664137661066583,0.012877289178963074,0.09318521045386804,0.09493983687478783,0.22980493123030943,0.25170296840535744,0.8601782584659016
11,0.9917146989820051,0.11741796793073236,0.02608425431861204,0.0055712922992388276,0.006346804880326732,0.03290359036871556,0.022541455254222242,0.029224945011236854,0.09054534631629202,0.12413745391493639,0.24360031578672392,0.23063421163523232,0.8279728718501019
12,1.311647548690328,0.13634812707090757,0.027762541782236593,0.00823203413540215,0.010150424544068969,0.05145365441167658,0.02872322225635145,0.025436350728182303,0.10412622818758967,0.19638386452648193,0.2541248553812908,0.26988807089177275,0.651101449277034
13,1.631580398398651,0.19012915949528278,0.025686523598543027,0.023640970142644355,0.028078023640471888,0.06525143636035434,0.04921314893960774,0.031772456356692264,0.11971141329683203,0.4616793412741743,0.29747097629108993,0.3289843840814268,0.4805804789105622
14,1.951513248106974,0.19012915949528278,0.025686523598543027,0.023640970142644355,0.028078023640471888,0.06525143636035434,0.04921314893960774,0.031772456356692264,0.11971141329683203,0.4616793412741743,0.29747097629108993,0.3289843840814268,0.4805804789105622
15,2.271446097815297,0.19012915949528278,0.025686523598543027,0.023640970142644355,0.028078023640471888,0.06525143636035434,0.04921314893960774,0.031772456356692264,0.11971141329683203,0.4616793412741743,0.29747097629108993,0.3289843840814268,0.4805804789105622
16,2.5913789475236197,0.18296355478506984,0.02512346013952984,0.02263717787765884,0.026891023557074106,0.06525143636035434,0.0461030160818534,0.031772456356692264,0.11455806279319378,0.455241094260602,0.29747097629108993,0.3232853174087952,0.4805804789105622
17,2.9113117972319427,0.1394295547822476,0.017566672887849265,0.01373978110900101,0.012752835877524035,0.03189996840136642,0.03648740274577767,0.013460470546669543,0.07596324846743935,0.40008325906250247,0.24521170914373697,0.309799432699083,0.23669327668546924
18,3.2312446469402656,0.1394295547822476,0.017566672887849265,0.01373978110900101,0.012752835877524035,0.03189996840136642,0.03648740274577767,0.013460470546669543,0.07596324846743935,0.40008325906250247,0.24521170914373697,0.309799432699083,0.23669327668546924
19,3.5511774966485885,0.1394295547822476,0.017566672887849265,0.01373978110900101,0.012752835877524035,0.03189996840136642,0.03648740274577767,0.013460470546669543,0.07596324846743935,0.40008325906250247,0.24521170914373697,0.309799432699083,0.23669327668546924
