,property_value_std,partial_dependence,Percentile_0,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_99
0,-1.029288791468282,0.1669622175963781,0.01823246462111838,0.06306404617234583,0.0450378468873127,0.2178879083406219,0.11403788880489082,0.15679488187110494,0.19768890731742236,0.18451777891869492,0.2955017054599429,0.36383273203671324,0.6211859368593937
1,0.39219440190614274,0.04484595919851653,0.002155647444515352,0.00619064021269046,0.007550724721486557,0.01384835213800914,0.020147664361021198,0.05592503606900693,0.0643877219929572,0.01146071778435773,0.06417180262329437,0.046834622705544025,0.8461125489826538
2,1.8136775952805675,0.04373361657015994,0.002249782232227477,0.005602542874552301,0.00619698935367576,0.0111346395404274,0.01547449028203483,0.03475072790419397,0.050957184593395835,0.009951223157336838,0.05520083057573922,0.04449789267058917,0.8132546154932484
3,3.2351607886549925,0.04902559859133601,0.002155285554199067,0.005602542874552301,0.00619698935367576,0.01003396047727417,0.01902813597702212,0.04057984225669801,0.04716053549438687,0.009951223157336838,0.05520083057573922,0.04560477047863042,0.8173739579526172
4,4.656643982029417,0.04977193804988998,0.0024856760093924265,0.005602542874552301,0.00619698935367576,0.009753803486233774,0.04474700759546286,0.04101755992692,0.0524363858218104,0.009951223157336838,0.05520083057573922,0.04143575852215795,0.801934529894997
5,6.078127175403841,0.04966911750702776,0.0024856760093924265,0.005602542874552301,0.00619698935367576,0.009753803486233774,0.04240426572957519,0.04101755992692,0.0524363858218104,0.009951223157336838,0.05520083057573922,0.04143575852215795,0.801934529894997
6,7.499610368778267,0.05041839151001029,0.0024856760093924265,0.005602542874552301,0.00619698935367576,0.009753803486233774,0.044703630496645316,0.03796380663426931,0.0524363858218104,0.009951223157336838,0.05520083057573922,0.04368500193961871,0.8105578731270912
7,8.921093562152691,0.0504088676449443,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.00928637008632875,0.04273715941022641,0.03619387277530834,0.0524363858218104,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
8,10.342576755527116,0.050438849074355106,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.010441622097639944,0.04273715941022641,0.03619387277530834,0.0524363858218104,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
9,11.76405994890154,0.05043886390859154,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.010441622097639944,0.04273715941022641,0.03619387277530834,0.0524363858218104,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
10,13.185543142275964,0.050438859325763294,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.010441622097639944,0.04273715941022641,0.03619387277530834,0.0524363858218104,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
11,14.60702633565039,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
12,16.028509529024817,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
13,17.44999272239924,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
14,18.871475915773665,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
15,20.29295910914809,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
16,21.714442302522514,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
17,23.135925495896938,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
18,24.557408689271362,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
19,25.978891882645787,0.050215727819483365,0.0023657223544876335,0.005298051980649958,0.00619698935367576,0.009828712624892101,0.04067186106391015,0.03389288796350339,0.04992681316974224,0.009412624326516326,0.05520083057573922,0.04368500193961871,0.8105578731270912
