,fried1_std,partial_dependence,Percentile_0,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_99
0,-1.7335108884683608,0.20674070394310676,0.01408255482064999,0.10704467439745802,0.045506355340183144,0.10697437370363644,0.35360966216264816,0.20231044251356586,0.09342844442779306,0.6877133165653213,0.28184540189926616,0.2381378658815328,0.8582495939245414
1,-1.5600811806988704,0.22589019606762653,0.01408255482064999,0.12963293548441968,0.045506355340183144,0.10965736335602286,0.43836943180018473,0.22996009797145497,0.11743269802193923,0.7532651173023317,0.28353468797849257,0.25068853914700157,0.8899277823226113
2,-1.38665147292938,0.2834971498631294,0.016746241455023556,0.1577242239213252,0.054933732501763206,0.17597792598566395,0.5733236533378258,0.3028577740977949,0.15890552110053802,0.822472228023515,0.40830811145001467,0.3254009233367458,0.9113160162570421
3,-1.2132217651598896,0.32544346224180454,0.01753316624100803,0.20928691697872304,0.05755934772751774,0.23317716989888126,0.6746937398216463,0.39578109631269365,0.19053816466019557,0.8691254375413652,0.46043239899547755,0.3530447475048451,0.8998894855939062
4,-1.0397920573903991,0.37551841990297646,0.01960245332931664,0.2980753407654774,0.06713350336331693,0.289132855880715,0.7527248164746798,0.4032629825344343,0.22912255078328228,0.905785560109367,0.5848666535586438,0.46355509831812536,0.9322055515664358
5,-0.8663623496209087,0.43648414220116666,0.020816276308752105,0.4444388821728188,0.08577142593848035,0.43277644307836477,0.8032247902794082,0.45140916644135837,0.29130723693335747,0.9290107063292624,0.6451129567251432,0.6234625300636508,0.9433450592034825
6,-0.6929326418514183,0.4645557920188341,0.021841237363705964,0.48615559263262537,0.08817933949921951,0.4426608850006811,0.826761239564648,0.46722510618448804,0.336403550259543,0.9405731933452616,0.7370803149232068,0.6915933845553645,0.9499113230186164
7,-0.5195029340819279,0.48450893423657443,0.02344660483569215,0.5543589192308762,0.09818017963700999,0.45009460611856034,0.8360749740228932,0.4777049928762469,0.38184552554787565,0.9449769504748763,0.7500580821823989,0.7254454335800665,0.9583659982733859
8,-0.34607322631243753,0.518655661200772,0.025287071304074395,0.5925376349337931,0.14032155385104908,0.4931384527128863,0.8606235608653858,0.4918403429500008,0.4437295768470506,0.95651515898769,0.7900560480431306,0.7799376235400409,0.9589298374734985
9,-0.17264351854294713,0.5435770751089093,0.02688867703090531,0.6400172529053342,0.16056805185897902,0.534963395180698,0.8739360362497854,0.4868955772373354,0.5705677003537307,0.9609574591295917,0.7945896290334555,0.818122852060701,0.968372837891122
10,0.0007861892265432768,0.5696639246232863,0.03280760288239242,0.6699051264664441,0.1572694181654278,0.599472786989295,0.8900507367815743,0.4905791784376132,0.6217891956354451,0.9676271361081978,0.8165524085727438,0.8444248741600752,0.9743611351837116
11,0.17421589699603368,0.5794571751385731,0.03381812662730173,0.6861802862277632,0.1572694181654278,0.6358497640447159,0.8907659327219186,0.4979198220875403,0.6282061913175263,0.9693174644099292,0.8201236903649183,0.8515334610699027,0.9745301169911179
12,0.3476456047655241,0.5929699507576944,0.03620793960647181,0.6803418645719655,0.17788639394334743,0.675253762278683,0.8940578331633784,0.525272364250606,0.6338427382424416,0.9710648368051348,0.8290446545979447,0.8546204247113046,0.9754483228365435
13,0.5210753125350147,0.6122382501601165,0.03867140599918469,0.700259654645597,0.2039216347437873,0.7028221419673313,0.8946250867981226,0.5712738502394428,0.6549002949871943,0.9713792429039368,0.8402130625740026,0.8679818737582395,0.9775443466339641
14,0.6945050203045049,0.6194044921740346,0.051271680813019034,0.6824804867886274,0.2094299793179048,0.7112006001184422,0.8900509901978823,0.6028338996692986,0.6597509478027701,0.9701238260131951,0.8547348158107312,0.8685153801167448,0.9791945122467569
15,0.8679347280739951,0.6287215354577965,0.05829124161411825,0.651134324724747,0.23444355116057905,0.7422647757243954,0.8919622428408498,0.6212620999257,0.6667810015619918,0.9667634690309429,0.8682432133181853,0.8777611604643708,0.9802973908589044
16,1.0413644358434857,0.6327110391579804,0.061070254187264084,0.6442945928996535,0.23594569873778012,0.7431321950882458,0.8918345405310643,0.6264309055658493,0.668894948518304,0.965786696914907,0.8735996870865327,0.8814355729987543,0.9810882021114761
17,1.2147941436129763,0.6349862513116845,0.06233291148907159,0.6337599214253573,0.2639629795690997,0.7388970613226585,0.8882290677676604,0.6298575044123597,0.6788801946477511,0.9648661569377628,0.8751149981929632,0.8761025793853052,0.980576809682095
18,1.3882238513824665,0.6386011683937226,0.06402235414533797,0.6557823867217358,0.27165344011481046,0.7353626192772981,0.8863744382022815,0.6386224159659772,0.6815021235578917,0.9683560089090202,0.8751149981929632,0.874946039765662,0.9814545386734098
19,1.5616535591519567,0.6405050676177306,0.06402235414533797,0.6557823867217358,0.30105033037418427,0.7353626192772981,0.8852785949318963,0.6434289823700813,0.6815021235578917,0.968921971911425,0.8766579535220475,0.8737556754557028,0.9819560914938071
